item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group
G & F 10011 JustForKids Kids Garden Tools Set, hand rake, shovel, trowel (3 Pieces)		0828P88GBJP	10011	6.75	835	2015-08-28 11:05:43 PDT		y	1			11				B014F03XE0			1	N		B014F03XE0			0	DEFAULT													Prime template
G & F 10012 JustForKids Kids Garden Tools Set with Tote hand rake shovel trowel	Perfect gift idea for the budding gardener. Kids' Garden Tote w/Tools includes a canvas tote with front and side pockets, hand rake, shovel, and trowel. Fun and functional!	0228OYPQ1V7	10012.amzn1	8.59		2014-02-28 10:25:27 PST		y	1			11				B00025EIZG			1	N		B00025EIZG				AMAZON_NA													Prime template
G & F 10012 JustForKids Kids Garden Tools Set with Tote hand rake shovel trowel		1130PNKV817	10012selffulfill	8.59	9861	2015-11-30 04:54:27 PST		y	1			11				B00025EIZG			1	N		B00025EIZG			0	DEFAULT													Prime template
G & F 10039 JustForKids Kids Dustpan and Brush		0828P88GZO1	100139	8.97	981	2015-08-28 11:07:42 PDT		y	1			11				B014F03YJY			1	N		B014F03YJY			0	DEFAULT													Prime template
G & F 10015 Garden Tools Set, Trowel, Fan Rake and Culti-Hoe, 3 Pieces		0701OSBYGBP	10015	13.2	910	2014-07-01 13:28:47 PDT		y	1		brand new 3 pieces	11				B002LGMIWE			1	N		B002LGMIWE			0	DEFAULT													Prime template
G & F 10015 Garden Steel Culti-Hoe, Garden Tool		0203PICQA61	10015-Rake	9.89	977	2015-02-03 06:41:41 PST		y	1			11				B00T2Y5DA2			1	N		B00T2Y5DA2			0	DEFAULT													Prime template
G & F 10015 Garden Steel Fan Rake, Garden Tool		0203PICS2H1	10015R	9.89	982	2015-02-03 06:47:35 PST		y	1			11				B00T2Y5CMQ			1	N		B00T2Y5CMQ			0	DEFAULT													Prime template
G & F 10015 Garden Steel Trowel, Garden Tool		0203PICSAZP	10015Trowel	9.89	990	2015-02-03 06:48:34 PST		y	1			11				B00T2Y5C6W			1	N		B00T2Y5C6W			0	DEFAULT													Prime template
G & F 10016 Heavy Duty Aluminum Cast Garden Tools Set with Soft Grip handle, Trowel, Cultivator/Rake, Weedier and a Jumbo Size TROWEL (4 Pieces)		0828P88I22J	10016	17.61	990	2015-08-28 11:11:55 PDT		y	1			11				B013OWYOJ8			1	N		B013OWYOJ8			0	DEFAULT													Prime template
G & F 100181 JustForKids 28.5' Kids Garden Hoe, Kids Garden Tool, Red		0630PWS4V5J	100181-Hoe	9.99	988	2015-06-30 06:23:18 PDT		y	1			11				B00VQCBNF2			1	N		B00VQCBNF2			0	DEFAULT													Prime template
